# V2: REAL OSM addresses (house + street both real, region dropped)
# Total records: 46135
# Generated: 2026-09-18 22:36:45 UTC
# Format: COUNTRY | FULL_NAME | ADDRESS | PHONE | POSTAL_CODE | EMAIL
#
Australia|Maria Avila|19 York Street, Sydney, Australia|0418 133 207|1561|maria_avila807@t-online.de
Australia|Beverly Martin|192 Day Street, Sydney, Australia|0417 853 066|2000|beverly-martin4304@libero.it
Australia|Haley Clements|81 Sussex Street, Sydney, Australia|0417 748 420|2000|haley_clements1314@icloud.com
Australia|Jonathon Flores|25 Belvoir Street, Sydney, Australia|0422 037 516|5954|jonathon_flores8892@home.pl
Australia|Jeffery Clements|179 Cleveland Street, Sydney, Australia|0404 321 838|5596|jeffery-clements9804@wp.pl
Australia|Monica Nguyen|182 Lawson Street, Sydney, Australia|0426 245 483|2016|monica_nguyen2291@gmail.com
Australia|Deanna Parker|115 Regent Street, Sydney, Australia|0439 993 702|1817|deanna_parker2426@fastmail.com
Australia|Latoya Shea|644 George Street, Sydney, Australia|0407 149 819|2000|latoya_shea1726@onet.pl
Australia|Billy Miller|384 Pitt Street, Sydney, Australia|0402 093 154|7779|billy-miller1791@o2.pl
Australia|Peter Foster|49 Market Street, Sydney, Australia|0425 268 856|7668|peter_foster3230@yahoo.es
Australia|Laura Brennan|40-44 Wentworth Avenue, Sydney, Australia|0430 858 078|1210|laura-brennan405@gmx.com
Australia|Alan Powers|4 Wentworth Avenue, Sydney, Australia|0409 574 662|8468|alan_powers8678@protonmail.com
Australia|Stephanie Berg|5-11 Wentworth Avenue, Sydney, Australia|0415 073 184|2000|stephanie-berg2461@yandex.ru
Australia|Gabrielle Griffin|38 College Street, Sydney, Australia|0404 466 434|2010|gabrielle.griffin9153@gmx.de
Australia|Troy Scott|557 George Street, Sydney, Australia|0429 000 578|9391|troy-scott4368@yandex.ru
Australia|Beverly Garcia|561 George Street, Sydney, Australia|0411 359 848|4346|beverly.garcia1496@tiscali.it
Australia|Darrell Warren|641 George Street, Sydney, Australia|0439 483 075|0507|darrell.warren8452@zoho.com
Australia|Patricia Williams|665 George Street, Sydney, Australia|0405 288 952|3037|patricia.williams3842@t-online.de
Australia|Bryan Donovan|671 George Street, Sydney, Australia|0418 213 490|4059|bryan_donovan3803@home.pl
Australia|Jonathan Zhang|681 George Street, Sydney, Australia|0439 793 764|5141|jonathan.zhang6957@interia.pl
Australia|Shelley Fry|691-693 George Street, Sydney, Australia|0429 373 468|5448|shelley-fry3922@fastmail.com
Australia|Hannah Sanchez|2-6 Broadway, Sydney, Australia|0431 711 003|3919|hannah-sanchez6959@t-online.de
Australia|John Young|871 George Street, Sydney, Australia|0438 161 158|0393|john_young8006@icloud.com
Australia|Kim Mueller|320 Harris Street, Sydney, Australia|0413 562 977|2009|kim-mueller562@terra.es
Australia|Kristen Rojas|22 Allen Street, Sydney, Australia|0406 058 146|1893|kristen-rojas7535@tin.it
